Smiles;Frequency;Percentage;MoleculeFrequency;MoleculePercentage
CC(C)CCCC(C)C1CCC2C1CCC3C4CCCCC4CCC32;1;0.000;1;0.00
CCCC1C(C)(C)CCC2(C)C3CCC(CC)C(CC)C3(C)CCC12C;1;0.000;1;0.00
ccc1cccc(c1)CC2c3ccccc3-c4cc(cc(c4C2)CC(C)Cc5cccc(c5)CCc6ccccc6)CCCC;1;0.000;1;0.00
c1ccc(cc1)Cc2ccc(cc2)CC(c3ccccc3)C;1;0.000;1;0.00
c1ccc(cc1)C(Cc2ccc3c(c2)C4(CC)CCCCC4CC3)C(C)CCCCCCCCC;1;0.000;1;0.00
c1ccc(cc1)CCCCc2cccc(c2)CCC;1;0.000;1;0.00
CC(C)CCCCC1(C)CCCC(C)C1C;1;0.000;1;0.00
c1ccc(cc1)C2c3ccccc3CC(C)C2C;1;0.000;1;0.00
c1cc2c(c3c1C(C)(C)CCC3)CCC4(C)C5CC(C)(C)CCC5(C)CCC24C;1;0.000;1;0.00
CC1CCCCC1;4;0.000;4;0.00
ccc(c)CCC(C)C(CC)C(C)C;1;0.000;1;0.00
cccc1cccc(c1)CCC(C)C;4;0.000;4;0.00
CCCCCCCCCCCCCC;3;0.000;3;0.00
ccc1ccccc1c;1;0.000;1;0.00
CCCC1CC(C)CC1C;1;0.000;1;0.00
O=C(C1OC1)C2OC2;1;0.000;1;0.00
CCCCCCC(C)C1CCC2(C)C1CCC3(C)C2CCC4C5(C)CCCC(C)(C)C5CCC43C;1;0.000;1;0.00
CCCCCC(C)C;4;0.000;4;0.00
CC1CCC2(CCC3C(C)(C)CCCC3(C)C2)C1;1;0.000;1;0.00
CCCCCCCCCCCCC;3;0.000;3;0.00
cccc(c)CC;1;0.000;1;0.00
C#C;14;0.001;14;0.01
cc1ccccc1cc-c2ccccc2;1;0.000;1;0.00
*N(*)C(=S)N(*)N=C;1;0.000;1;0.00
CCCC1CCC(CC)C1(C)C;1;0.000;1;0.00
O=C1C=COC2OC12;1;0.000;1;0.00
*OC(=O)OC=C;1;0.000;1;0.00
*OC=CC(*)=O;3;0.000;3;0.00
cc(cc1cccc(c1)CCC(C)C)-c2cccc(c2)CCC(C)C;1;0.000;1;0.00
CCC1(C)CCC2(C)CCC(C)C(CC)(C2)C(C)C1;1;0.000;1;0.00
O=[cH2];161;0.013;150;0.12
CC1CCCC1;7;0.001;7;0.01
*N=C(O[H])C=C;1;0.000;1;0.00
*C(=O)OCON(*)*;1;0.000;1;0.00
C=CC=CC=CC=CC=CC=CC=C;1;0.000;1;0.00
*P(=O)(O[H])O[H];1;0.000;1;0.00
c1ccc(cc1)C(CC)CC(C)(CC)CCC;1;0.000;1;0.00
CCCC(C)C(C)C;2;0.000;2;0.00
CC(C)C;62;0.005;51;0.04
CCCCC(C)CCCC(C)C;1;0.000;1;0.00
*N=C(N(*)*)N(*)CO*;1;0.000;1;0.00
ccc(c)CC(C)CCC1(CCC(C)CC)CCC(CC(C)C1C)C(C)C2CCCC2(C)CCCC3(C)CCCCC3;1;0.000;1;0.00
c1ccc(cc1)-cccc2ccccc2;1;0.000;1;0.00
c1ccc2c(c1)-c3ccccc3C2C;1;0.000;1;0.00
c1ccc(cc1)ccc-c2ccccc2;23;0.002;22;0.02
c1ccc(cc1)CCCCCCCc2ccccc2;2;0.000;2;0.00
cc(c1ccccc1)C(c2ccccc2)C;1;0.000;1;0.00
c(cc1cc(ccc1C)CCCCCC)cCCC;1;0.000;1;0.00
c1ccc(cc1)CCccc(cCCC2CCC3CCCC(C2)C3CCC(C)C)C;1;0.000;1;0.00
c1ccc2c(c1)c3cccc(c3cc2C)CC;1;0.000;1;0.00
cc1cc(ccc1c2ccccc2)C;1;0.000;1;0.00
cccc(c)CC1CCC2(c3cc(ccc3-c4ccccc4C2)C(C)Cc5cccc(c5C)C)C1;1;0.000;1;0.00
c1ccc(c(c1)C)CCCCCCCCCC;1;0.000;1;0.00
c1cc(c(cc1C)CCC)CCC;1;0.000;1;0.00
c1ccc(cc1)CC;66;0.005;62;0.05
CCC(C)CC(C)C;1;0.000;1;0.00
ccCCCCCCCC;1;0.000;1;0.00
*OC=CC(=O)C=C;1;0.000;1;0.00
*N=C(C(*)=O)N(*)*;1;0.000;1;0.00
CCCCCCCCC1CCC2C(C)C(CCC12C)C(C)CCCC;2;0.000;2;0.00
c1ccc(cc1)c(cCC(CC)(CCc2cccc(c2)C3(CC)CC4(CCC)CCC3CC4)CCC)CC;1;0.000;1;0.00
cc(cc1cccc(c1)CC)-c2cccc(c2)C;1;0.000;1;0.00
CCC1(C)CCC(CC1C)C(C)C;1;0.000;1;0.00
*N=CC=C1SC=NN1*;1;0.000;1;0.00
CCC(C)C1CCC(C)C1(C)C;1;0.000;1;0.00
c1ccc2c(c1)-c3cccc(c3CC2)CC;4;0.000;4;0.00
c1ccc(c(c1)CC)CCC(CC)CC;1;0.000;1;0.00
*SSC=CN(*)C(*)=O;1;0.000;1;0.00
c1ccc(cc1)C(C)CCCCC;1;0.000;1;0.00
CCCCCCC(C)C1CCC2(C)C1CCC3(C)C(C)C(CCC32)C4(C)CCCC(C)(C)C4;1;0.000;1;0.00
*OC1OC(O[H])C2OC12;1;0.000;1;0.00
*OC(=O)O*;1;0.000;1;0.00
CCCC12CCC(C(C)C)C(C)C2CC(C)C1C;1;0.000;1;0.00
cCC;6;0.000;4;0.00
CCC1C(C)(C)CCCC1(C)CC;1;0.000;1;0.00
CCCCCC1CCC2(C)C(CCC2C1C)C(C)CCC(CC)C(C)C;1;0.000;1;0.00
*OC(=O)n(*)*;1;0.000;1;0.00
c1cc(ccc1C)C2(C)CCC(C)C2C;1;0.000;1;0.00
CC1(C)CCCC2(C)C1CCC3(C)CCCCC32;1;0.000;1;0.00
*N=CN(*)*;3;0.000;3;0.00
*C(=O)OCO[H];2;0.000;2;0.00
CCC(C)CCC(CC)CC;1;0.000;1;0.00
c1ccc(cc1)-cccc2cccc(c2)CCC;1;0.000;1;0.00
c1cc(ccc1C)C(C)CC;2;0.000;2;0.00
*OCOCO[H];1;0.000;1;0.00
c1ccc(cc1)C(C)Cc2cccc(c2)CC(C)CCCCCCCCCCCC;1;0.000;1;0.00
c1ccc(cc1)c2cCCC(C(C)CC)C(C)CC2;1;0.000;1;0.00
CCC1CCC2C(C)(C)CCCC2(C)C1C;1;0.000;1;0.00
CCCC(C)CCCC(C)CCC;1;0.000;1;0.00
c1cc(c(cc1C2(C)CCCC2(C)C)-c3cc(ccc3C)C4(C)CCCC4(C)C)C;1;0.000;1;0.00
CCCC(C)C(C)(C)CC;1;0.000;1;0.00
*OC(O*)O*;2;0.000;2;0.00
*N=C;3;0.000;3;0.00
CCCCCCC(C)CCC(C)C;1;0.000;1;0.00
*OC(O*)C(O*)O[H];1;0.000;1;0.00
*N1C(=S)SC(=C)C1=O;1;0.000;1;0.00
CCCCCCCCCCCCCCCCCCCCC;1;0.000;1;0.00
ccccc-c(c)cc1cccc(c1)CCC;1;0.000;1;0.00
cc-ccccc;1;0.000;1;0.00
c1ccc(cc1)c2cccc(c2)C;1;0.000;1;0.00
*C(=O)N(*)C1=CC(=O)C(=CC1=O)N(*)*;1;0.000;1;0.00
CCCCC(C)CC;2;0.000;2;0.00
CCCC(C)(C)C(C)CC;1;0.000;1;0.00
*SCN(*)C(*)=O;2;0.000;2;0.00
CCCCCCC;30;0.002;25;0.02
CCCCCC(CC)CCC1CC2(CCC3(CCCC3)C2)CC(C)C1CC;1;0.000;1;0.00
*N(*)C(=O)C(=O)N(*)*;2;0.000;2;0.00
c1ccc(cc1)CCCCCCc2ccccc2;1;0.000;1;0.00
CCCC(C)CCC;1;0.000;1;0.00
c1ccc(cc1)C(CC)CC;1;0.000;1;0.00
CC(C)C1C2CC1(C)CCCC2(C)C;1;0.000;1;0.00
CCCC(C)C(CC(C)CC)C(C)C;1;0.000;1;0.00
O=C(OC=C)C=C;1;0.000;1;0.00
c1ccc(cc1)-cccc2cccc(c2)C;2;0.000;2;0.00
c1ccc(cc1)-cccc2cccc(c2)c(c-c3ccccc3)C;1;0.000;1;0.00
CCCCCCCCCCCCCCCCCCCCCCCCC;1;0.000;1;0.00
c1ccc2c(c1)cccc2C;1;0.000;1;0.00
cc(cc1ccccc1)c2ccccc2;1;0.000;1;0.00
CCCCCCCCCCCCC(C)CCCCCCCCCCCC(C)CCCCCCCCCCCC;1;0.000;1;0.00
O=CC=CC=C;1;0.000;1;0.00
CCCC(C)C1CCC2(C)CCCC2C1CC;1;0.000;1;0.00
CCCCCC(C)CCCC(C)CC;1;0.000;1;0.00
CCCC1(C)CCCC2C3CCC(C(C)CCCC(C)C)C(C)C3CC21;2;0.000;2;0.00
O=CC(=C)C=C;1;0.000;1;0.00
c(cC)cC;4;0.000;3;0.00
c1ccc(cc1)ccC(C)CCC;1;0.000;1;0.00
CCCC(C)(C)CC;1;0.000;1;0.00
*OCOC(=O)C=C;3;0.000;3;0.00
ccc(cC)C(C)C1CCC(C)(C)C1;1;0.000;1;0.00
[H]OC(C=C)=CC(=O)C=C;1;0.000;1;0.00
c1cc(cc(c1)CCCCC2CC(CC)C2c3cccc(c3)CCC)C;1;0.000;1;0.00
CCCCC(C)C1CCC2(C)C3CCC4C(C)CCCC54CC35CCC12C;1;0.000;1;0.00
CCCCC(C)CCCCC(CC)CC;1;0.000;1;0.00
CCC1(C)CCCC(C)(C)C1C;1;0.000;1;0.00
CCCC(CC)C(C)CC;1;0.000;1;0.00
ccc(c)Cccc(c)CC;1;0.000;1;0.00
*OCO[H];26;0.002;25;0.02
CC1CCC(C1)C(C)C2CCCCC2;1;0.000;1;0.00
cc(ccC)CC;1;0.000;1;0.00
cc(cc1ccccc1CC)C;1;0.000;1;0.00
c1ccc2c(c1)-c3ccccc3CC(C)C(C)C2;1;0.000;1;0.00
CCC(C)(C)C1CCC(C)C1(C)C;1;0.000;1;0.00
CC(C)CCCC(C)C;2;0.000;2;0.00
cccccC(C)CC(C)C;3;0.000;3;0.00
*C(=O)C(=O)N(*)*;3;0.000;3;0.00
*OC=C(C=C)C(=O)C(=CO[H])C(*)=O;1;0.000;1;0.00
cccc1cccc(c1)C(cccccC)C;1;0.000;1;0.00
c1ccc(cc1)C2CCC(C)C(C)CC2;1;0.000;1;0.00
[H]OCOC(=O)C=C;1;0.000;1;0.00
ccC(C)C1CCCCC1;1;0.000;1;0.00
cccc(cC)C;1;0.000;1;0.00
ccc1cCC2C(CCC3C(C)(C)CCCC23C)C1C;2;0.000;2;0.00
cc(c)cc1ccccc1;1;0.000;1;0.00
